,timestamp,robot_name,status code,status,xy_coordinate,GPS_coordinate
675,1648560542.654881,tb3_1,1,ACTIVE,"(-17.69789768891547, -35.484223238596016)","(103.81480807250493, 1.3154448311367868)"
676,1648560542.869264,tb3_1,1,ACTIVE,"(-17.668155680874822, -35.4435972342398)","(103.81481074796696, 1.3154484847176806)"
677,1648560543.067221,tb3_1,1,ACTIVE,"(-17.638560355401545, -35.40229077665729)","(103.81481341023402, 1.3154521994931054)"
678,1648560543.277941,tb3_1,1,ACTIVE,"(-17.60862393145537, -35.36021730306178)","(103.81481610318481, 1.315455983247857)"
679,1648560543.485381,tb3_1,1,ACTIVE,"(-17.579881254117314, -35.32021103185675)","(103.81481868875137, 1.3154595810948226)"
680,1648560543.684608,tb3_1,1,ACTIVE,"(-17.57206894803436, -35.31000769234464)","(103.81481939151259, 1.3154604987023395)"
681,1648560543.911854,tb3_1,1,ACTIVE,"(-17.571946735632377, -35.30984409945624)","(103.81481940250627, 1.3154605134145874)"
682,1648560544.118164,tb3_1,1,ACTIVE,"(-17.572606749877462, -35.31047284972891)","(103.81481934313425, 1.3154604568697592)"
683,1648560544.328269,tb3_1,1,ACTIVE,"(-17.57241399929761, -35.31027003581643)","(103.81481936047325, 1.315460475109238)"
684,1648560544.478209,tb3_1,3,SUCCEEDED,"(-17.573523476781347, -35.31091897164597)","(103.81481926066942, 1.3154604167490556)"
685,1648560544.489402,tb3_1,1,ACTIVE,"(-17.57350279302464, -35.31090756516049)","(103.81481926253005, 1.3154604177748654)"
686,1648560544.543827,tb3_1,1,ACTIVE,"(-17.573562223668684, -35.310940245705964)","(103.81481925718391, 1.3154604148358342)"
687,1648560544.751638,tb3_1,1,ACTIVE,"(-17.573404215739735, -35.310844998361254)","(103.81481927139764, 1.3154604234016305)"
688,1648560544.952739,tb3_1,1,ACTIVE,"(-17.555977321309957, -35.30158960467671)","(103.8148208390463, 1.3154612557589993)"
689,1648560545.170366,tb3_1,1,ACTIVE,"(-17.516919141717512, -35.2832763376617)","(103.81482435255276, 1.3154629027105669)"
690,1648560545.352355,tb3_1,1,ACTIVE,"(-17.480002548236694, -35.26611579367054)","(103.81482767341133, 1.3154644459952818)"
691,1648560545.555922,tb3_1,1,ACTIVE,"(-17.42729033032203, -35.24017262431101)","(103.81483241517651, 1.3154667791202455)"
692,1648560545.774709,tb3_1,1,ACTIVE,"(-17.383281549862232, -35.216562265931124)","(103.81483637401764, 1.3154689024502741)"
693,1648560545.981112,tb3_1,1,ACTIVE,"(-17.33877321025999, -35.19093779561758)","(103.8148403777969, 1.3154712069135064)"
694,1648560546.168992,tb3_1,1,ACTIVE,"(-17.28875605889321, -35.16148206865162)","(103.81484487712518, 1.3154738559297434)"
695,1648560546.38419,tb3_1,1,ACTIVE,"(-17.25915875921862, -35.14385352724885)","(103.81484753957125, 1.31547544130198)"
696,1648560546.622748,tb3_1,1,ACTIVE,"(-17.21153986342307, -35.11458665900572)","(103.8148518231627, 1.315478073333621)"
697,1648560546.837295,tb3_1,1,ACTIVE,"(-17.171423289617845, -35.088609861324606)","(103.81485543187742, 1.3154804094821007)"
698,1648560547.034868,tb3_1,1,ACTIVE,"(-17.132393404710115, -35.062191935606265)","(103.81485894283821, 1.3154827853020559)"
699,1648560547.249799,tb3_1,1,ACTIVE,"(-17.090779347245224, -35.03341947296127)","(103.81486268626003, 1.3154853728704432)"
700,1648560547.470556,tb3_1,1,ACTIVE,"(-17.048661136072145, -35.00448853359276)","(103.81486647503337, 1.3154879746909869)"
701,1648560547.675209,tb3_1,1,ACTIVE,"(-17.000378432561167, -34.97138740671721)","(103.81487081833798, 1.315490951545308)"
702,1648560547.860825,tb3_1,1,ACTIVE,"(-16.96733891809915, -34.94785526247471)","(103.81487379043074, 1.315493067840715)"
